BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_180000:225000-8     	1000000000	         0.002011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_270000:315000-8     	1000000000	         0.01101 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_45000:90000-8     	1000000000	         0.003998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_90000:135000-8    	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_180000:225000-8   	1000000000	         0.01124 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_270000:315000-8   	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_50000:100000-8      	1000000000	         0.001026 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_100000:150000-8     	1000000000	         0.007997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_200000:250000-8     	1000000000	         0.001025 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_300000:350000-8     	1000000000	         0.003024 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_400000_50000:100000-8    	1000000000	         0.0009978 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_400000_100000:150000-8   	1000000000	         0.002027 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_400000_200000:250000-8   	1000000000	         0.01201 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_400000_300000:350000-8   	1000000000	         0.01124 ns/op	       0 B/op	       0 allocs/op

BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_5000:10000-8         	1000000000	         0.0006106 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_10000:15000-8        	1000000000	         0.0009640 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_20000:25000-8        	1000000000	         0.004990 ns/op	       0 B/op	       0 allocs/op
