BenchmarkDelete/*main.GapBuffer_delete_320000_0:40000-8             	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_0:160000-8            	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_160000:319999-8       	1000000000	         0.01802 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_80000:240000-8        	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_280000:319999-8       	1000000000	         0.01898 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_const-8                 	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_0:359999-8              	1000000000	         0.007999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_0:45000-8               	1000000000	         0.008002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_0:180000-8              	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_180000:359999-8         	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_90000:270000-8          	1000000000	         0.009001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_360000_315000:359999-8         	1000000000	         0.008021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_const-8               	1000000000	         0.02014 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_0:359999-8            	1000000000	         0.02502 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_0:45000-8             	1000000000	         0.01998 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_0:180000-8            	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_180000:359999-8       	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_90000:270000-8        	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_360000_315000:359999-8       	1000000000	         0.02302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_const-8                 	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_0:399999-8              	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_0:50000-8               	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_0:200000-8              	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_200000:399999-8         	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_100000:300000-8         	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_400000_350000:399999-8         	1000000000	         0.009018 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_const-8               	1000000000	         0.02600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_0:399999-8            	1000000000	         0.03300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_0:50000-8             	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_0:200000-8            	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_200000:399999-8       	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_100000:300000-8       	1000000000	         0.02301 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_400000_350000:399999-8       	1000000000	         0.02301 ns/op	       0 B/op	       0 allocs/op

BenchmarkDelete/*main.AVLRope_delete_40000_const-8         	1000000000	         0.001045 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:39999-8       	1000000000	         0.001064 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:5000-8        	1000000000	         0.001059 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:20000-8       	1000000000	         0.001200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_20000:39999-8   	1000000000	         0.001101 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_10000:30000-8   	1000000000	         0.002190 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_35000:39999-8   	1000000000	         0.001766 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_const-8       	1000000000	         0.003039 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:39999-8     	1000000000	         0.002998 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:5000-8      	1000000000	         0.002524 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:20000-8     	1000000000	         0.002999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_20000:39999-8 	1000000000	         0.002538 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_10000:30000-8 	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_35000:39999-8 	1000000000	         0.002017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_const-8         	1000000000	         0.001013 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:79999-8       	1000000000	         0.004643 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:10000-8       	1000000000	         0.002820 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:40000-8       	1000000000	         0.002000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_40000:79999-8   	1000000000	         0.003016 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_20000:60000-8   	1000000000	         0.001992 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_70000:79999-8   	1000000000	         0.002009 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_const-8       	1000000000	         0.007996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:79999-8     	1000000000	         0.006002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:10000-8     	1000000000	         0.002997 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:40000-8     	1000000000	         0.005001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_40000:79999-8 	1000000000	         0.005022 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_20000:60000-8 	1000000000	         0.004012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_70000:79999-8 	1000000000	         0.005017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_const-8        	1000000000	         0.002980 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_0:119999-8     	1000000000	         0.004004 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_0:15000-8      	1000000000	         0.001579 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_0:60000-8      	1000000000	         0.003826 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_60000:119999-8 	1000000000	         0.003016 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_30000:90000-8  	1000000000	         0.003021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_120000_105000:119999-8         	1000000000	         0.003007 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_const-8               	1000000000	         0.006996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_0:119999-8            	1000000000	         0.007646 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_0:15000-8             	1000000000	         0.008000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_0:60000-8             	1000000000	         0.006019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_60000:119999-8        	1000000000	         0.007006 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_30000:90000-8         	1000000000	         0.008007 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_120000_105000:119999-8       	1000000000	         0.007047 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_const-8                 	1000000000	         0.003942 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_0:159999-8              	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_0:20000-8               	1000000000	         0.004029 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_0:80000-8               	1000000000	         0.002997 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_80000:159999-8          	1000000000	         0.004691 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_40000:120000-8          	1000000000	         0.003014 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_160000_140000:159999-8         	1000000000	         0.002653 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_const-8               	1000000000	         0.007510 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:159999-8            	1000000000	         0.01901 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:20000-8             	1000000000	         0.008005 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:80000-8             	1000000000	         0.009989 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_80000:159999-8        	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_40000:120000-8        	1000000000	         0.01414 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_140000:159999-8       	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_const-8                 	1000000000	         0.004012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:199999-8              	1000000000	         0.005991 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:25000-8               	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:100000-8              	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_100000:199999-8         	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_50000:150000-8          	1000000000	         0.005996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_175000:199999-8         	1000000000	         0.005017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_const-8               	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:199999-8            	1000000000	         0.02001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:25000-8             	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:100000-8            	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_100000:199999-8       	1000000000	         0.01399 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_50000:150000-8        	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_175000:199999-8       	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_const-8                 	1000000000	         0.005005 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_0:239999-8              	1000000000	         0.006995 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_0:30000-8               	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op
