BenchmarkAppend/*main.AVLRope_Append_280000_245000-8      	1000000000	         0.01503 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_280000-8      	1000000000	         0.01554 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_2000-8      	1000000000	         0.02996 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_35000-8     	1000000000	         0.03002 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_70000-8     	1000000000	         0.03570 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_140000-8    	1000000000	         0.1174 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_210000-8    	1000000000	         0.02601 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_245000-8    	1000000000	         0.01921 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_280000_280000-8    	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_2000-8        	1000000000	         0.02397 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_40000-8       	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_80000-8       	1000000000	         0.01799 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_160000-8      	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_240000-8      	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_280000-8      	1000000000	         0.01399 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_320000_320000-8      	1000000000	         0.02300 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_2000-8      	1000000000	         0.03701 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_40000-8     	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_80000-8     	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_160000-8    	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_240000-8    	1000000000	         0.03100 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_280000-8    	1000000000	         0.03199 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_320000_320000-8    	1000000000	         0.02800 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_2000-8        	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_45000-8       	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_90000-8       	1000000000	         0.02201 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_180000-8      	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_270000-8      	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_315000-8      	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_360000_360000-8      	1000000000	         0.02500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_2000-8      	1000000000	         0.03000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_45000-8     	1000000000	         0.02900 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_90000-8     	1000000000	         0.03199 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_180000-8    	1000000000	         0.03006 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_270000-8    	1000000000	         0.03002 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_315000-8    	1000000000	         0.04302 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_360000_360000-8    	1000000000	         0.03103 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_2000-8        	1000000000	         0.02801 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_50000-8       	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_100000-8      	1000000000	         0.02499 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_200000-8      	1000000000	         0.01980 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_300000-8      	1000000000	         0.03800 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_350000-8      	1000000000	         0.02058 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_400000_400000-8      	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_2000-8      	1000000000	         0.04699 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_50000-8     	1000000000	         0.02939 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_100000-8    	1000000000	         0.02923 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_200000-8    	1000000000	         0.04503 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_300000-8    	1000000000	         0.03200 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_350000-8    	1000000000	         0.04697 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_400000_400000-8    	1000000000	         0.04337 ns/op	       0 B/op	       0 allocs/op

BenchmarkAppend/*main.AVLRope_Append_40000_2000-8         	1000000000	         0.001071 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_5000-8         	1000000000	         0.001101 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_10000-8        	1000000000	         0.001733 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_20000-8        	1000000000	         0.0006122 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_30000-8        	1000000000	         0.001090 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_35000-8        	1000000000	         0.002002 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_40000-8        	1000000000	         0.0009999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_2000-8       	1000000000	         0.004006 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_5000-8       	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_10000-8      	1000000000	         0.004517 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_20000-8      	1000000000	         0.005004 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_30000-8      	1000000000	         0.005541 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_35000-8      	1000000000	         0.004605 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_40000-8      	1000000000	         0.006108 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_2000-8         	1000000000	         0.003153 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_10000-8        	1000000000	         0.003051 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_20000-8        	1000000000	         0.001981 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_40000-8        	1000000000	         0.006329 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_60000-8        	1000000000	         0.002994 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_70000-8        	1000000000	         0.002011 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_80000-8        	1000000000	         0.002996 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_2000-8       	1000000000	         0.007034 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_10000-8      	1000000000	         0.008003 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_20000-8      	1000000000	         0.006002 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_40000-8      	1000000000	         0.006982 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_60000-8      	1000000000	         0.01313 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_70000-8      	1000000000	         0.01092 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_80000-8      	1000000000	         0.01013 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_2000-8        	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_15000-8       	1000000000	         0.005019 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_30000-8       	1000000000	         0.004000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_60000-8       	1000000000	         0.009247 ns/op	       0 B/op	       0 allocs/op
