BenchmarkSplit/*main.AVLRope_split_40000_const-8         	1000000000	         0.001125 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_5000-8     	1000000000	         0.001091 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_10000-8    	1000000000	         0.0005333 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_20000-8    	1000000000	         0.001094 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_30000-8    	1000000000	         0.001073 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_35000-8    	1000000000	         0.0005599 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_const-8       	1000000000	         0.001999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_5000-8   	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_10000-8  	1000000000	         0.003001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_20000-8  	1000000000	         0.002995 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_30000-8  	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_35000-8  	1000000000	         0.002000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_const-8         	1000000000	         0.002002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_10000-8    	1000000000	         0.001003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_20000-8    	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_40000-8    	1000000000	         0.001976 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_60000-8    	1000000000	         0.001997 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_70000-8    	1000000000	         0.002000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_const-8       	1000000000	         0.004169 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_10000-8  	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_20000-8  	1000000000	         0.005680 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_40000-8  	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_60000-8  	1000000000	         0.004015 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_70000-8  	1000000000	         0.004979 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_const-8        	1000000000	         0.002998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_vary_15000-8   	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_vary_30000-8   	1000000000	         0.002042 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_vary_60000-8   	1000000000	         0.002007 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_vary_90000-8   	1000000000	         0.002019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_120000_vary_105000-8  	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_const-8      	1000000000	         0.008030 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_vary_15000-8 	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_vary_30000-8 	1000000000	         0.008011 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_vary_60000-8 	1000000000	         0.008026 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_vary_90000-8 	1000000000	         0.006999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_120000_vary_105000-8         	1000000000	         0.005011 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_const-8                 	1000000000	         0.003995 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_vary_20000-8            	1000000000	         0.003998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_vary_40000-8            	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_vary_80000-8            	1000000000	         0.004000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_vary_120000-8           	1000000000	         0.005005 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_160000_vary_140000-8           	1000000000	         0.004021 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_const-8               	1000000000	         0.009042 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_vary_20000-8          	1000000000	         0.009002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_vary_40000-8          	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_vary_80000-8          	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_vary_120000-8         	1000000000	         0.009003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_160000_vary_140000-8         	1000000000	         0.009019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_const-8                 	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_25000-8            	1000000000	         0.004016 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_50000-8            	1000000000	         0.005000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_100000-8           	1000000000	         0.004998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_150000-8           	1000000000	         0.004002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_175000-8           	1000000000	         0.003563 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_const-8               	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_25000-8          	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_50000-8          	1000000000	         0.009997 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_100000-8         	1000000000	         0.01302 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_150000-8         	1000000000	         0.01202 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_175000-8         	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_const-8                 	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_30000-8            	1000000000	         0.005032 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_60000-8            	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_120000-8           	1000000000	         0.006007 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_180000-8           	1000000000	         0.004023 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_210000-8           	1000000000	         0.004998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_const-8               	1000000000	         0.01399 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_30000-8          	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_60000-8          	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_120000-8         	1000000000	         0.01302 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_180000-8         	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_210000-8         	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_const-8                 	1000000000	         0.005007 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_35000-8            	1000000000	         0.005994 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_70000-8            	1000000000	         0.007035 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_140000-8           	1000000000	         0.005996 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_210000-8           	1000000000	         0.007017 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_245000-8           	1000000000	         0.005999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_const-8               	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_35000-8          	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_70000-8          	1000000000	         0.01202 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_140000-8         	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_210000-8         	1000000000	         0.01700 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_245000-8         	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_const-8                 	1000000000	         0.008018 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_40000-8            	1000000000	         0.007999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_80000-8            	1000000000	         0.008019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_160000-8           	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_240000-8           	1000000000	         0.007999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_280000-8           	1000000000	         0.007000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_const-8               	1000000000	         0.01964 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_40000-8          	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_80000-8          	1000000000	         0.01601 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_160000-8         	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_240000-8         	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
